# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/work/07368/sbes29/ls6/db/Amil.coding.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.txt" "-T" "64" "--primary" "o0.bam" "o10.bam" "o1.bam" "o2.bam" "o3.bam" "o4.bam" "o6.bam" "o7.bam" "o8.bam" "o9.bam" "oM1.bam" "w22.bam" "w23.bam" "w24.bam" "w25.bam" "w26.bam" "w27.bam" "w28.bam" "w30.bam" "w31.bam" 
Geneid	Chr	Start	End	Strand	Length	o0.bam	o10.bam	o1.bam	o2.bam	o3.bam	o4.bam	o6.bam	o7.bam	o8.bam	o9.bam	oM1.bam	w22.bam	w23.bam	w24.bam	w25.bam	w26.bam	w27.bam	w28.bam	w30.bam	w31.bam
Amillepora09416	chr4	9742767	9751391	-	8625	15	9	18	31	10	8	8	13	3	22	11	25	9	30	5	12	9	6	12	17
Amillepora09414	chr4	9733885	9734688	-	804	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09409	chr4	9689647	9698415	-	8769	36	22	41	30	34	41	9	41	8	45	19	36	13	22	8	43	17	33	22	23
Amillepora09410	chr4	9699195	9705294	-	6100	17	16	15	34	4	4	18	18	5	19	11	36	7	16	5	13	8	23	13	4
Amillepora09411	chr4	9707010	9708767	-	1758	30	14	20	43	9	4	19	19	4	22	8	40	5	23	6	21	13	22	13	14
Amillepora09413	chr4	9717379	9722872	-	5494	8	1	6	3	17	3	5	13	2	10	2	6	5	7	0	6	9	6	6	9
Amillepora09424	chr4	9838028	9842545	+	4518	22	66	35	39	20	9	45	7	20	35	16	15	4	15	17	10	8	7	5	3
Amillepora09417	chr4	9760418	9801073	-	40656	902	1370	1755	1589	632	531	954	778	433	1021	770	1487	449	722	283	1074	597	448	521	360
Amillepora09426	chr4	9847475	9878205	-	30731	171	260	270	236	99	81	116	185	90	183	128	184	90	110	55	165	106	131	115	71
Amillepora09419	chr4	9808029	9813637	-	5609	11	13	20	13	7	2	16	3	6	7	2	7	7	5	2	9	2	8	5	4
Amillepora09423	chr4	9833144	9834851	-	1708	29	2	4	2	1	0	1	1	0	0	2	5	3	0	2	2	0	4	1	0
Amillepora09420	chr4	9820801	9831824	-	11024	16	10	37	12	16	4	11	15	4	11	10	6	47	17	4	17	3	7	16	10
Amillepora09422	chr4	9831863	9832312	-	450	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09430	chr4	9904119	9907076	-	2958	3	1	0	3	0	1	1	3	1	0	0	3	0	0	1	1	1	0	0	0
Amillepora09428	chr4	9889464	9891914	-	2451	201	323	179	91	98	281	151	152	56	364	172	205	104	133	84	124	73	135	58	152
Amillepora09429	chr4	9899796	9903437	-	3642	0	0	1	1	0	0	0	0	1	2	2	1	1	0	1	0	0	0	0	0
Amillepora09431	chr4	9911361	9920793	-	9433	11	11	11	11	9	3	5	15	1	10	5	11	2	6	3	10	7	4	4	9
Amillepora09432	chr4	10013506	10015695	+	2190	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Amillepora09435	chr4	10078214	10080285	+	2072	5	3	2	6	0	0	4	6	0	1	1	5	0	1	1	2	0	0	0	0
Amillepora09434	chr4	10042100	10064082	+	21983	72	130	117	121	68	46	65	103	60	58	33	43	47	45	18	81	39	57	67	43
Amillepora09433	chr4	10027219	10027596	-	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09438	chr4	10096865	10099142	+	2278	18	4	8	29	24	2	24	19	4	7	7	17	12	25	2	23	4	23	10	4
Amillepora09439	chr4	10107021	10107940	+	920	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
Amillepora09444	chr4	10167210	10172528	+	5319	1	11	8	9	3	0	1	4	7	6	0	8	8	2	0	12	0	1	4	12
Amillepora09442	chr4	10138271	10138906	+	636	69	116	289	169	15	3	57	127	31	85	111	76	3	19	13	14	3	33	8	9
Amillepora09441	chr4	10124102	10127376	+	3275	0	1	1	0	0	0	9	0	1	0	0	1	0	0	60	6	0	0	124	0
Amillepora09443	chr4	10143931	10145626	+	1696	5	1	3	2	2	5	2	5	0	2	0	3	2	7	0	1	4	2	5	3
Amillepora09437	chr4	10089280	10090449	-	1170	3	0	1	5	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	0
Amillepora09436	chr4	10087432	10089197	-	1766	2	2	1	2	0	1	0	1	1	0	1	0	0	1	3	3	0	0	3	1
Amillepora09440	chr4	10109560	10110573	-	1014	1	73	3	34	1	1	19	26	2	1	0	15	2	3	18	6	8	68	300	15
Amillepora09453	chr4	10246567	10277274	+	30708	500	420	535	534	274	192	323	362	165	346	290	503	178	271	115	322	186	282	257	224
Amillepora09445	chr4	10188299	10197894	+	9596	5	12	11	11	4	0	4	12	9	4	6	8	4	8	2	10	6	5	5	3
Amillepora09450	chr4	10231229	10235121	-	3893	121	179	93	51	52	87	64	70	37	221	80	63	33	53	51	36	27	39	32	54
Amillepora09451	chr4	10242872	10246456	-	3585	24	27	39	23	17	9	10	20	7	17	17	14	11	8	8	21	8	17	8	13
Amillepora09447	chr4	10201814	10205559	-	3746	1	4	10	14	0	0	0	4	6	7	0	7	5	3	0	6	1	1	0	3
Amillepora09448	chr4	10211755	10214839	-	3085	20	9	37	13	0	1	12	13	2	10	7	3	3	6	4	6	8	5	5	2
Amillepora09456	chr4	10302170	10305967	+	3798	729	697	857	574	466	399	487	435	295	567	510	724	325	403	178	479	361	535	430	474
Amillepora09462	chr4	10362600	10368461	+	5862	7	14	15	19	10	6	9	18	2	15	7	10	7	3	5	17	6	9	6	10
Amillepora09464	chr4	10376463	10380421	+	3959	130	192	108	87	62	111	90	94	35	261	103	62	54	64	54	56	40	59	49	75
Amillepora09460	chr4	10325536	10330795	+	5260	133	118	142	165	127	81	133	129	63	128	89	176	99	99	32	118	89	99	90	83
Amillepora09459	chr4	10316885	10325502	+	8618	48	50	49	59	22	11	26	35	18	35	53	59	18	12	19	34	21	23	26	19
Amillepora09458	chr4	10308973	10312771	-	3799	666	640	792	526	423	365	494	366	257	470	534	747	316	385	175	499	336	476	395	409
Amillepora09461	chr4	10330555	10364779	-	34225	354	305	367	371	202	126	278	247	114	253	175	362	122	220	104	285	166	202	173	115
Amillepora09454	chr4	10280004	10281854	-	1851	0	0	0	14	0	2	0	2	0	0	0	2	0	5	0	1	0	1	0	0
Amillepora09455	chr4	10287679	10298212	-	10534	46	63	58	88	27	14	23	35	24	24	49	48	15	24	17	50	23	24	35	17
Amillepora09467	chr4	10403529	10409041	+	5513	1	7	7	2	0	0	2	0	0	4	2	2	0	2	0	0	1	1	0	0
Amillepora09470	chr4	10426042	10445063	+	19022	87	44	20	26	28	15	16	29	24	26	23	63	17	14	7	38	19	17	33	15
Amillepora09469	chr4	10419057	10422952	+	3896	0	3	4	3	0	0	1	2	0	0	0	1	2	0	0	1	0	0	4	2
Amillepora09466	chr4	10395935	10399012	+	3078	16	14	16	14	0	1	12	12	0	10	3	7	4	2	5	4	1	2	6	4
Amillepora09468	chr4	10410992	10413190	-	2199	0	3	2	5	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0
Amillepora09471	chr4	10530375	10544298	+	13924	73	9	18	57	31	6	18	58	19	36	29	23	17	17	16	26	9	11	18	37
Amillepora09472	chr4	10560946	10564586	-	3641	0	3	0	0	0	2	1	2	1	0	1	2	0	1	0	0	0	0	2	1
Amillepora09477	chr4	10671520	10681030	+	9511	276	274	253	246	143	99	183	225	76	185	125	211	84	143	82	183	136	164	119	118
Amillepora09473	chr4	10568881	10600384	+	31504	140	57	75	125	53	43	43	106	42	93	85	92	33	18	10	48	27	44	28	107
Amillepora09474	chr4	10621370	10626454	-	5085	24	41	62	23	13	6	12	20	23	38	27	27	8	4	2	18	10	18	15	7
Amillepora09475	chr4	10643042	10651344	-	8303	275	278	347	201	129	105	174	190	85	216	196	271	80	174	62	238	177	183	144	112
Amillepora09476	chr4	10660274	10669819	-	9546	4	13	7	12	1	2	3	11	6	4	7	9	2	1	2	4	2	8	6	4
Amillepora09480	chr4	10717090	10731533	+	14444	252	303	308	422	427	226	243	306	252	404	215	381	240	305	67	348	161	250	107	215
Amillepora09486	chr4	10766299	10776390	+	10092	7	14	12	12	11	0	6	18	7	4	4	5	4	11	4	10	4	3	0	0
Amillepora09482	chr4	10736441	10741238	+	4798	23	41	30	11	18	32	14	8	24	20	14	24	18	17	2	7	6	11	6	5
Amillepora09488	chr4	10777476	10788055	+	10580	0	0	0	4	1	0	0	3	3	2	5	0	0	1	0	1	3	0	0	1
Amillepora09487	chr4	10777096	10783675	-	6580	0	2	1	9	0	1	1	1	0	0	2	1	0	4	0	0	1	0	0	1
Amillepora09479	chr4	10705892	10711492	-	5601	2	20	2	2	1	0	0	0	1	0	3	0	0	0	0	1	1	0	4	0
Amillepora09478	chr4	10683856	10700992	-	17137	161	271	288	131	66	72	75	147	97	176	124	155	67	86	46	109	88	78	88	67
Amillepora09485	chr4	10763964	10765067	-	1104	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
Amillepora09483	chr4	10747442	10749488	-	2047	13	4	7	3	13	19	19	4	2	5	5	5	7	6	0	4	2	6	14	5
Amillepora09484	chr4	10756610	10759366	-	2757	3	6	10	2	4	17	7	1	2	6	3	10	1	1	0	2	2	8	8	2
Amillepora09492	chr4	10862624	10868111	+	5488	0	1	1	1	0	0	0	3	1	0	2	0	0	0	0	1	0	0	7	1
Amillepora09489	chr4	10790394	10799431	+	9038	180	207	278	308	200	118	116	225	91	305	172	197	81	108	34	179	134	147	101	148
Amillepora09491	chr4	10821099	10838456	+	17358	285	317	310	341	148	97	159	293	69	224	178	226	119	164	90	230	126	189	221	129
Amillepora09490	chr4	10803370	10819887	+	16518	167	178	203	213	114	68	142	202	67	136	100	179	75	96	49	174	89	149	85	68
Amillepora09497	chr4	10962812	10980195	+	17384	69	116	170	151	65	48	105	98	62	99	87	132	48	45	46	83	64	109	58	61
Amillepora09496	chr4	10955128	10960698	+	5571	56	70	52	49	31	20	34	41	18	64	32	48	20	38	14	35	28	50	27	21
Amillepora09495	chr4	10937269	10944810	-	7542	63	56	43	80	12	9	26	59	12	31	25	37	4	31	19	59	26	20	27	21
Amillepora09493	chr4	10906551	10921789	-	15239	2	3	6	9	3	1	7	3	4	4	1	7	3	1	0	4	0	3	5	1
Amillepora09498	chr4	10987357	11009385	+	22029	64	91	119	126	49	29	45	69	37	37	51	76	47	59	13	62	34	63	59	28
Amillepora09499	chr4	11009541	11019672	-	10132	535	402	497	492	272	214	379	356	123	388	277	485	220	354	165	450	247	343	277	267
Amillepora09500	chr4	11038644	11053561	-	14918	26	77	106	96	34	25	38	50	32	52	43	30	23	13	9	32	21	44	15	10
Amillepora09502	chr4	11053838	11064390	-	10553	1	9	10	3	3	2	2	0	0	2	2	0	1	1	0	4	0	0	2	3
Amillepora09507	chr4	11093566	11094900	+	1335	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Amillepora09509	chr4	11108474	11113409	-	4936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09511	chr4	11122490	11126200	-	3711	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	3	0
Amillepora09506	chr4	11087273	11091958	-	4686	0	5	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0
Amillepora09508	chr4	11102171	11106517	-	4347	1	1	9	7	9	1	4	2	0	5	0	3	2	1	1	5	2	2	2	2
Amillepora09510	chr4	11121209	11122470	-	1262	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0
Amillepora09517	chr4	11202855	11203139	+	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09518	chr4	11203199	11205762	+	2564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09512	chr4	11144733	11205755	-	61023	95	183	351	127	54	35	59	55	42	118	158	66	37	53	20	51	45	71	80	27
Amillepora09522	chr4	11294367	11306269	+	11903	191	240	225	290	67	71	110	148	87	170	150	220	71	160	55	149	54	111	136	95
Amillepora09525	chr4	11330282	11333701	+	3420	160	22	485	167	148	57	119	120	40	179	65	106	85	22	107	634	150	349	222	71
Amillepora09524	chr4	11324693	11327426	+	2734	6	11	4	16	4	3	23	11	2	14	6	13	8	17	5	5	5	4	4	13
Amillepora09529	chr4	11366278	11373207	+	6930	7	4	5	6	9	0	5	7	0	3	6	7	9	1	5	5	2	3	9	3
Amillepora09528	chr4	11358077	11359504	+	1428	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09527	chr4	11346697	11349840	+	3144	3	0	0	2	0	0	3	2	0	0	0	2	1	0	0	2	2	2	3	0
Amillepora09523	chr4	11307723	11313605	-	5883	34	98	88	52	12	24	49	21	10	30	50	31	4	53	11	64	8	73	56	54
Amillepora09519	chr4	11223110	11294254	-	71145	113	177	189	153	66	35	64	137	88	111	111	143	49	88	36	91	90	68	88	54
Amillepora09526	chr4	11334733	11338872	-	4140	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	2	0	0	2	0
Amillepora09535	chr4	11448860	11455651	+	6792	35	17	18	28	15	11	15	16	2	33	11	31	7	12	6	6	11	9	20	13
Amillepora09536	chr4	11466528	11478842	+	12315	30	66	38	60	30	9	11	61	11	41	29	73	10	56	13	37	36	26	42	20
Amillepora09532	chr4	11405035	11410192	+	5158	36	4	14	18	21	8	19	23	14	24	15	30	22	12	2	14	13	31	9	14
Amillepora09533	chr4	11416632	11433286	+	16655	303	491	226	408	160	77	237	365	70	271	179	222	129	187	65	308	160	244	266	133
Amillepora09531	chr4	11396730	11400609	+	3880	0	3	0	0	0	0	2	2	1	1	2	2	0	1	1	1	0	0	0	1
Amillepora09530	chr4	11384262	11388507	+	4246	0	4	1	0	1	0	3	4	0	3	1	1	1	1	0	1	3	3	3	1
Amillepora09534	chr4	11433350	11440954	-	7605	231	293	356	316	248	157	224	196	123	152	178	377	138	147	55	216	154	257	160	173
Amillepora09538	chr4	11486562	11487794	+	1233	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
Amillepora09544	chr4	11512624	11518790	+	6167	12	20	24	13	3	9	3	5	4	2	5	1	2	8	4	4	5	8	6	6
Amillepora09540	chr4	11501273	11502268	+	996	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
Amillepora09543	chr4	11509954	11511022	+	1069	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09541	chr4	11502437	11504952	+	2516	2	0	0	0	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0
Amillepora09539	chr4	11494040	11499307	-	5268	3	1	3	8	7	2	0	34	0	4	1	7	3	4	0	8	0	3	10	1
Amillepora09545	chr4	11519647	11522773	-	3127	0	0	2	1	1	0	0	1	0	0	3	2	0	1	0	1	0	0	0	0
Amillepora09546	chr4	11531725	11536305	+	4581	7	5	17	12	19	6	15	2	8	11	9	9	1	2	0	12	10	16	12	13
Amillepora09542	chr4	11507852	11509910	+	2059	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
Amillepora09549	chr4	11574435	11601876	+	27442	96	90	128	96	33	32	64	87	32	67	35	42	33	56	21	68	44	55	49	22
Amillepora09550	chr4	11607899	11613432	+	5534	4	2	11	5	6	1	2	4	3	7	6	3	3	2	2	7	1	6	5	2
Amillepora09547	chr4	11554477	11558595	+	4119	0	1	6	1	0	0	2	3	3	3	2	0	0	1	1	0	0	1	1	0
Amillepora09548	chr4	11565110	11566461	+	1352	3	11	15	10	4	0	1	8	0	2	3	12	2	6	2	3	1	6	9	4
Amillepora09555	chr4	11638674	11649029	-	10356	27	42	36	33	6	11	26	18	13	19	15	23	24	36	30	28	19	37	26	16
Amillepora09553	chr4	11621071	11627903	-	6833	2	3	1	4	1	0	3	0	1	0	1	1	1	1	0	2	4	1	4	0
Amillepora09554	chr4	11628577	11636934	-	8358	6	6	7	14	0	0	5	2	5	2	6	8	0	5	0	7	5	2	14	2
Amillepora09552	chr4	11618976	11620933	-	1958	5	5	6	8	2	1	12	0	2	2	0	3	3	1	0	0	1	2	3	0
Amillepora09551	chr4	11615858	11616959	-	1102	2	4	1	3	2	1	4	3	0	2	1	2	1	1	0	1	1	0	1	0
Amillepora09557	chr4	11689327	11716677	+	27351	10	13	17	11	4	6	5	8	2	9	6	8	2	6	3	6	5	5	13	6
Amillepora09556	chr4	11671903	11679716	+	7814	2	2	7	3	7	3	1	3	1	1	1	2	0	2	1	0	1	0	1	2
Amillepora09558	chr4	11729627	11744067	-	14441	83	90	223	77	177	48	159	43	59	44	50	104	65	46	48	75	42	167	115	47
Amillepora09562	chr4	11803894	11814506	-	10613	198	318	228	160	145	65	141	163	75	140	134	122	79	164	59	200	127	135	125	138
Amillepora09561	chr4	11794529	11802774	-	8246	93	97	108	59	52	23	52	71	47	86	53	60	26	52	23	53	25	64	44	34
Amillepora09563	chr4	11815529	11836551	-	21023	129	166	130	120	44	69	114	139	51	110	92	97	48	41	33	101	47	118	50	63
Amillepora09565	chr4	11843419	11847712	+	4294	363	267	377	319	153	159	213	244	85	213	205	304	136	229	91	272	137	181	153	118
Amillepora09573	chr4	11914908	11923593	+	8686	87	114	107	128	34	37	61	86	50	82	54	65	46	63	21	76	57	60	61	41
Amillepora09570	chr4	11903430	11908760	+	5331	30	42	26	42	30	31	15	39	13	30	20	40	20	19	11	36	20	21	25	22
Amillepora09572	chr4	11912682	11914256	+	1575	181	181	192	178	151	90	141	180	88	163	127	186	102	132	50	186	97	148	115	140
Amillepora09568	chr4	11873032	11889262	+	16231	856	768	944	767	684	539	738	796	261	972	552	840	501	587	163	777	433	534	547	450
Amillepora09571	chr4	11910364	11911473	+	1110	7	3	3	0	1	2	0	2	0	0	1	0	1	0	0	0	1	0	2	0
Amillepora09567	chr4	11870215	11872722	+	2508	48	54	35	37	24	17	23	17	14	32	13	39	13	24	11	37	17	28	18	12
Amillepora09569	chr4	11898182	11903049	+	4868	124	131	199	217	63	44	101	93	56	176	101	132	82	105	27	133	52	58	74	47
Amillepora09582	chr4	11958556	11965242	-	6687	162	145	142	97	60	50	79	106	42	126	113	106	49	74	29	108	80	92	69	40
Amillepora09583	chr4	11969571	11970563	-	993	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0
Amillepora09566	chr4	11847682	11866047	-	18366	185	200	217	216	129	104	161	220	86	134	146	221	103	183	60	150	95	137	115	114
Amillepora09575	chr4	11938633	11942040	-	3408	121	141	165	223	44	22	132	144	44	105	83	126	47	40	16	45	37	72	66	34
Amillepora09574	chr4	11929306	11934049	-	4744	16	24	12	9	1	8	6	7	7	3	12	9	1	6	1	9	3	8	5	1
Amillepora09578	chr4	11944892	11945410	-	519	47	48	77	104	13	3	56	43	11	49	30	40	14	18	11	12	18	18	17	6
Amillepora09577	chr4	11943797	11944866	-	1070	109	98	106	205	34	25	112	133	31	108	71	106	44	46	14	53	31	59	52	32
Amillepora09581	chr4	11948791	11949546	-	756	27	33	30	49	7	5	22	23	8	27	14	22	14	9	2	17	7	12	10	4
Amillepora09580	chr4	11947518	11948707	-	1190	33	59	71	100	13	11	33	46	6	49	30	40	13	18	3	14	9	9	20	13
Amillepora09579	chr4	11945511	11947382	-	1872	69	93	135	186	18	18	79	68	27	72	58	84	18	29	15	24	21	36	44	12
Amillepora09576	chr4	11942061	11943746	-	1686	57	94	102	120	15	7	53	68	16	50	47	48	10	17	19	21	21	26	31	9
Amillepora09589	chr4	12081204	12086737	+	5534	226	197	285	247	132	85	169	150	94	133	147	272	80	151	50	214	84	122	117	100
Amillepora09585	chr4	12034344	12043281	-	8938	12	19	19	8	17	10	14	24	17	4	7	24	16	17	6	19	17	12	26	17
Amillepora09588	chr4	12063664	12072264	-	8601	22	33	45	47	30	21	27	35	12	25	27	29	27	17	8	51	14	30	21	29
Amillepora09586	chr4	12050508	12051590	-	1083	0	1	0	2	1	0	1	1	0	0	0	6	0	1	1	3	3	0	5	0
Amillepora09599	chr4	12147167	12149196	+	2030	160	116	142	105	80	82	77	135	48	109	108	153	44	85	18	64	65	112	62	53
Amillepora09598	chr4	12142544	12146479	+	3936	398	509	417	347	257	137	247	276	159	322	367	203	117	193	61	210	164	246	251	178
Amillepora09590	chr4	12090974	12091851	+	878	152	107	106	85	53	37	49	48	34	97	46	84	42	45	21	31	35	66	53	64
Amillepora09594	chr4	12104240	12120630	+	16391	242	190	288	210	109	123	172	138	50	140	128	209	72	161	47	150	104	169	123	73
Amillepora09597	chr4	12131229	12140782	+	9554	345	390	387	390	196	167	266	321	133	245	214	350	183	209	81	295	180	256	226	189
Amillepora09593	chr4	12101311	12103999	-	2689	8	11	15	5	2	5	8	5	7	11	11	8	1	8	1	10	7	9	8	3
Amillepora09596	chr4	12123101	12131148	-	8048	202	333	324	231	132	117	184	150	72	247	134	199	109	144	71	226	147	111	112	85
Amillepora09591	chr4	12092867	12097200	-	4334	141	147	142	178	107	56	120	132	50	83	66	137	50	63	39	119	64	92	108	70
Amillepora09604	chr4	12227757	12237627	+	9871	114	119	94	115	61	58	68	113	35	77	63	73	32	41	21	66	60	92	56	50
Amillepora09605	chr4	12247622	12261799	+	14178	116	61	110	89	47	28	44	128	34	55	51	107	18	51	24	58	41	72	58	36
Amillepora09603	chr4	12224593	12225585	+	993	3	7	7	9	2	1	2	3	3	3	9	4	0	3	0	3	3	0	2	3
Amillepora09601	chr4	12201193	12223736	-	22544	1065	987	1060	1079	625	505	841	953	329	812	717	979	484	781	267	893	544	764	610	562
Amillepora09609	chr4	12303195	12309215	+	6021	331	411	306	321	193	184	268	233	163	296	229	339	181	230	66	193	189	288	258	170
Amillepora09608	chr4	12295234	12296109	+	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora09607	chr4	12265283	12290808	-	25526	798	815	987	1132	563	302	685	754	271	667	494	828	335	576	273	758	433	602	553	460
Amillepora09615	chr4	12462230	12496083	+	33854	85	92	95	69	25	20	35	51	30	63	52	41	25	48	13	39	35	42	46	21
Amillepora09610	chr4	12314352	12455689	+	141338	1588	1385	1844	1560	727	497	698	1402	756	1442	930	1048	583	821	276	1355	810	763	646	546
Amillepora09624	chr4	12671371	12683129	+	11759	190	143	80	103	59	76	118	88	25	117	111	142	108	173	33	223	99	128	225	102
Amillepora09623	chr4	12656084	12671211	-	15128	292	243	217	173	122	77	156	176	105	152	130	186	128	219	83	147	106	135	216	196
Amillepora09619	chr4	12591415	12593894	-	2480	32	29	52	47	16	43	24	68	25	20	13	30	14	7	6	12	23	18	16	21
Amillepora09621	chr4	12614291	12616638	-	2348	11	9	4	31	2	2	8	0	0	6	1	8	4	1	3	4	8	1	2	2
Amillepora09625	chr4	12684467	12687713	-	3247	3	2	2	4	0	2	10	0	2	2	2	4	1	1	1	4	0	1	1	1
Amillepora09622	chr4	12637660	12643666	+	6007	4	4	14	8	2	5	3	1	2	6	5	8	1	3	0	9	6	3	1	4
Amillepora09626	chr4	12692228	12693445	+	1218	1424	1213	1892	861	1137	851	1569	1066	676	1445	842	974	701	586	294	980	593	869	647	929
Amillepora09627	chr4	12697500	12698930	+	1431	2	3	3	6	4	2	4	3	1	1	7	1	1	2	0	9	1	0	5	0
Amillepora09635	chr4	12771345	12774517	+	3173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09628	chr4	12702239	12726013	+	23775	25	28	24	16	14	3	14	27	5	18	8	6	5	30	0	17	10	13	19	7
Amillepora09636	chr4	12774652	12775413	+	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09631	chr4	12752304	12754132	-	1829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora09629	chr4	12705045	12715960	-	10916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09630	chr4	12738935	12742379	-	3445	0	1	0	1	0	0	2	1	4	0	3	4	0	0	0	1	0	0	6	1
Amillepora09633	chr4	12762523	12763716	-	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09632	chr4	12758533	12762468	-	3936	0	0	4	0	0	0	1	1	0	1	3	3	4	1	2	0	0	4	0	1
Amillepora09638	chr4	12781373	12783333	-	1961	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Amillepora09637	chr4	12775502	12776116	+	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09634	chr4	12770746	12771311	+	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09644	chr4	12852574	12853665	+	1092	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora09642	chr4	12821088	12826164	+	5077	2	7	7	18	2	0	3	5	5	24	2	3	2	4	0	6	3	2	1	1
Amillepora09643	chr4	12832512	12835918	-	3407	0	1	0	0	0	4	3	1	1	0	2	1	1	0	0	0	1	0	3	4
Amillepora09639	chr4	12806017	12809019	-	3003	5	7	2	3	2	1	2	2	0	2	3	3	1	4	1	3	2	1	2	0
Amillepora09645	chr4	12861508	12862532	-	1025	21	28	24	11	41	4	19	15	2	17	9	4	16	23	17	13	4	33	8	7
Amillepora09646	chr4	12871665	12904162	+	32498	336	334	270	428	206	88	207	387	82	240	185	216	130	200	56	197	153	231	143	154
Amillepora09647	chr4	12921124	12925212	-	4089	0	6	1	2	0	2	0	0	6	1	0	1	2	0	0	0	0	0	0	2
Amillepora09650	chr4	12984731	13001614	+	16884	303	297	344	382	231	190	310	361	136	317	204	308	142	220	62	260	140	234	168	143
Amillepora09652	chr4	13007287	13034092	+	26806	241	295	236	372	136	80	175	201	84	186	142	237	98	217	75	295	127	185	130	103
Amillepora09649	chr4	12976970	12983078	+	6109	36	55	29	40	28	13	30	30	11	23	26	16	7	16	8	31	34	21	18	4
Amillepora09653	chr4	13041005	13048861	-	7857	221	167	186	218	163	91	156	180	60	179	108	188	84	153	77	169	106	139	117	105
Amillepora09656	chr4	13064967	13085793	-	20827	175	185	156	149	86	57	79	195	71	88	96	123	46	121	46	123	67	113	97	71
Amillepora09661	chr4	13172268	13181041	+	8774	40	26	65	40	20	12	11	12	18	35	18	42	13	33	3	11	11	35	10	21
Amillepora09657	chr4	13098721	13100868	-	2148	1	0	2	0	0	0	0	0	2	3	0	2	0	0	0	0	0	2	1	0
Amillepora09660	chr4	13169305	13172488	-	3184	0	1	0	1	1	0	0	6	1	0	1	0	0	0	0	1	0	0	1	1
Amillepora09658	chr4	13105259	13114157	-	8899	0	1	1	2	1	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0
Amillepora09663	chr4	13206584	13207752	+	1169	31	45	74	58	35	14	56	50	7	22	79	28	23	44	38	80	23	8	16	28
Amillepora09664	chr4	13225643	13232051	+	6409	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Amillepora09665	chr4	13241587	13255377	-	13791	15	13	20	19	9	6	15	14	16	10	14	16	7	7	8	13	13	9	11	9
Amillepora09662	chr4	13194468	13204111	+	9644	0	3	1	2	0	3	2	2	4	0	0	0	0	0	0	1	0	1	1	1
Amillepora09669	chr4	13358519	13374457	+	15939	343	327	390	228	274	112	271	356	147	338	208	231	119	212	72	262	215	183	162	173
Amillepora09666	chr4	13295063	13297045	+	1983	4	1	3	1	0	0	1	4	2	1	1	2	0	2	0	0	0	0	2	1
