amillepora00632 069l
amillepora31146 nbpfb
amillepora10360 nbpfj
amillepora33562 nbr1
amillepora09942 nc2a
amillepora26843 nc2b
amillepora24627 ncald
amillepora30757 ncam1
amillepora02773 ncam2
amillepora25717 ncam2-2
amillepora30776 ncam2-3
amillepora37268 ncam2-4
amillepora03504 ncan
amillepora10829 ncan-2
amillepora15297 ncan-3
amillepora20609 ncan-4
amillepora26953 ncan-5
amillepora12553 ncas2
amillepora02537 ncbp1
amillepora30740 ncbp2
amillepora22299 ncbp3
amillepora20722 ncdn
amillepora17111 ncf2
amillepora11237 nchl1
amillepora11238 nchl1-2
amillepora11239 nchl1-3
amillepora11245 nchl1-4
amillepora16904 nchl1-5
amillepora29354 nchl1-6
amillepora24220 nck1
amillepora27465 nck2
amillepora09988 nckp1
amillepora24647 nckx1
amillepora02844 nckx2
amillepora14054 nckx3
amillepora24646 nckx3-2
amillepora33591 nckx4
amillepora14053 nckx5
amillepora14055 nckx5-2
amillepora14056 nckx5-3
amillepora14057 nckx5-4
amillepora14561 nckx5-5
amillepora14579 nckx5-6
amillepora22525 ncl1
amillepora30030 nclx
amillepora30087 nclx-2
amillepora21400 ncoa4
amillepora08970 ncoa5
amillepora09000 ncoa5-2
amillepora23230 ncoa6
amillepora22985 ncor1
amillepora26010 ncor1-2
amillepora22820 ncpr
amillepora01107 ncs1
amillepora01108 ncs1-2
amillepora25271 ndc1
amillepora19831 ndc80
amillepora14333 ndel1
amillepora14368 ndel1-2
amillepora21328 ndf1
amillepora21463 ndf4
amillepora03378 ndf6
amillepora21021 ndh
amillepora04919 ndk5
amillepora23300 ndk6
amillepora24552 ndk7
amillepora24757 ndk7-2
amillepora06701 ndkb
amillepora06702 ndkb-2
amillepora00179 ndor1
amillepora03488 ndp
amillepora03937 ndrg1
amillepora15568 ndrg3
amillepora12168 ndst2
amillepora20706 ndst3
amillepora12604 ndst4
amillepora20705 ndst4-2
amillepora24429 ndua2
amillepora13954 ndua3
amillepora12508 ndua4
amillepora35968 ndua5
amillepora25997 ndua7
amillepora02778 ndua9
amillepora29583 nduaa
amillepora26160 nduab
amillepora17040 nduac
amillepora03045 nduad
amillepora04416 ndub8
amillepora05366 ndub9
amillepora27759 nduba
amillepora01872 nduf5
amillepora26610 nduf5-2
amillepora26922 nduf5-3
amillepora27029 nduf5-4
amillepora27277 nduf5-5
amillepora36125 nduf5-6
amillepora09093 nduf6
amillepora15596 nduf7
amillepora15599 nduf7-2
amillepora11045 ndus1
amillepora25738 ndus2
amillepora08911 ndus3
amillepora01789 ndus4
amillepora23314 ndus5
amillepora08689 ndus6
amillepora01316 ndus7
amillepora22313 ndus8
amillepora37607 ndus8-2
amillepora20899 nduv1
amillepora10700 nduv2
amillepora27935 neb1
amillepora01171 nebu
amillepora05376 nec1
amillepora07206 nec1-2
amillepora07207 nec1-3
amillepora20224 nec1-4
amillepora20262 nec1-5
amillepora20331 nec1-6
amillepora31299 nec1-7
amillepora32206 necp2
amillepora11298 nect3
amillepora33636 ned4l
amillepora36694 nedd1
amillepora20664 nedd4
amillepora27556 nedd8
amillepora23605 negr1
amillepora23731 negr1-2
amillepora23737 negr1-3
amillepora33270 negr1-4
amillepora29725 neil1
amillepora29762 neil1-2
amillepora07903 nek1
amillepora27179 nek1-2
amillepora31989 nek1-3
amillepora12849 nek10
amillepora16566 nek10-2
amillepora16567 nek10-3
amillepora09344 nek11
amillepora24614 nek11-2
amillepora06994 nek4
amillepora18008 nek4-2
amillepora10450 nek5
amillepora00773 nek7
amillepora10873 nek7-2
amillepora15303 nek7-3
amillepora24616 nek7-4
amillepora04486 nek8
amillepora11978 nek8-2
amillepora30614 nek8-3
amillepora15578 nek9
amillepora33939 nek9-2
amillepora33940 nek9-3
amillepora23681 nelfa
amillepora00846 nelfb
amillepora00862 nelfb-2
amillepora34070 nelfd
amillepora20617 nell1
amillepora32608 nell1-2
amillepora06916 nell2
amillepora16198 nemf
amillepora16201 nemf-2
amillepora16206 nemf-3
amillepora12487 nemp1
amillepora12526 nemp1-2
amillepora04366 nenf
amillepora15197 neo1
amillepora30412 neo1-2
amillepora32427 neo1-3
amillepora30793 nep
amillepora01210 nep1
amillepora08744 nepr1
amillepora00925 net1
amillepora14245 net1-2
amillepora14255 net1-3
amillepora31695 net4
amillepora01026 netr
amillepora04819 netr-2
amillepora04820 netr-3
amillepora04821 netr-4
amillepora03938 neufc
amillepora10800 neul2
amillepora11276 neul3
amillepora26512 neul4
amillepora33781 neul4-2
amillepora33782 neul4-3
amillepora33783 neul4-4
amillepora33787 neul4-5
amillepora33788 neul4-6
amillepora36939 neul4-7
amillepora18918 nf1
amillepora22110 nf1-2
amillepora22171 nf2ip
amillepora23236 nfam1
amillepora06867 nfat5
amillepora02875 nfcp
amillepora02878 nfcp-2
amillepora08505 nfe2
amillepora13874 nfh
amillepora33079 nfh-2
amillepora25067 nfib
amillepora06730 nfip1
amillepora10166 nfkb1
amillepora15217 nfkb2
amillepora13085 nfl
amillepora23695 nfrkb
amillepora00164 nfs1
amillepora31907 nfs1-2
amillepora28568 nfu1
amillepora05266 nfx1
amillepora08098 nfxl1
amillepora18072 nfya
amillepora03658 nfyb
amillepora22654 nfyc
amillepora29168 ngap
amillepora33895 ngap-2
amillepora33918 ngap-3
amillepora14850 ngb
amillepora15791 ngb-2
amillepora27455 ngb-3
amillepora19773 ngbr
amillepora10595 ngdn
amillepora08544 ngly1
amillepora27220 ngly1-2
amillepora27232 ngly1-3
amillepora27242 ngly1-4
amillepora14405 nh2l1
amillepora12688 nhej1
amillepora02053 nhlc2
amillepora03385 nhlc2-2
amillepora03465 nhlc2-3
amillepora17384 nhlc2-4
amillepora19524 nhlc2-5
amillepora28053 nhlc2-6
amillepora32656 nhlc2-7
amillepora35251 nhlc2-8
amillepora03352 nhp2
amillepora01616 niba2
amillepora24536 nica
amillepora24543 nica-2
amillepora15075 nid1
amillepora12574 nid2
amillepora16379 nid2-2
amillepora19181 nid2-3
amillepora33243 nid2-4
amillepora24962 nif3l
amillepora26119 nim1
amillepora03198 ninl
amillepora00721 nip7
amillepora23927 nip7-2
amillepora18502 nipa
amillepora07806 nipa2
amillepora21995 nipa4
amillepora01899 nipbl
amillepora06460 nipbl-2
amillepora09287 nipbl-3
amillepora16780 nipbl-4
amillepora17590 nipbl-5
amillepora17755 nipbl-6
amillepora17957 nipbl-7
amillepora21326 nipbl-8
amillepora21565 nipbl-9
amillepora25055 nipbl-10
amillepora29113 nipbl-11
amillepora29973 nipbl-12
amillepora31133 nipbl-13
amillepora31179 nipbl-14
amillepora33965 nipbl-15
amillepora36223 nipbl-16
amillepora08011 nipla
amillepora36233 niplb
amillepora22641 nips2
amillepora14872 nisch
amillepora17037 nisch-2
amillepora23489 nit2
amillepora14159 njmu
amillepora04129 nk1r
amillepora00427 nk2r
amillepora00450 nk2r-2
amillepora04556 nk2r-3
amillepora24831 nk2r-4
amillepora32590 nk2r-5
amillepora11942 nk3r
amillepora35353 nkai1
amillepora25217 nkap1
amillepora25732 nkapl
amillepora10495 nkd2
amillepora36843 nkrf
amillepora05681 nkx11
amillepora26577 nkx22
amillepora26578 nkx22-2
amillepora26579 nkx22-3
amillepora26580 nkx22-4
amillepora26581 nkx22-5
amillepora06234 nkx26
amillepora06232 nkx32
amillepora24222 nkx32-2
amillepora03775 nkx62
amillepora05719 nkx62-2
amillepora04832 nkx63
amillepora18532 nkx63-2
amillepora22122 nle1
amillepora11075 nlgnx
amillepora11077 nlgnx-2
amillepora11078 nlgnx-3
amillepora11079 nlgnx-4
amillepora35752 nlk
amillepora02106 nlrc3
amillepora02110 nlrc3-2
amillepora02112 nlrc3-3
amillepora02113 nlrc3-4
amillepora02133 nlrc3-5
amillepora02134 nlrc3-6
amillepora02136 nlrc3-7
amillepora08700 nlrc3-8
amillepora10538 nlrc3-9
amillepora11415 nlrc3-10
amillepora11417 nlrc3-11
amillepora11418 nlrc3-12
amillepora11425 nlrc3-13
amillepora11426 nlrc3-14
amillepora11431 nlrc3-15
amillepora11433 nlrc3-16
amillepora11434 nlrc3-17
amillepora11441 nlrc3-18
amillepora12407 nlrc3-19
amillepora12408 nlrc3-20
amillepora13811 nlrc3-21
amillepora13820 nlrc3-22
amillepora15602 nlrc3-23
amillepora15614 nlrc3-24
amillepora15623 nlrc3-25
amillepora15629 nlrc3-26
amillepora15639 nlrc3-27
amillepora15650 nlrc3-28
amillepora15656 nlrc3-29
amillepora15663 nlrc3-30
amillepora15670 nlrc3-31
amillepora15675 nlrc3-32
amillepora15681 nlrc3-33
amillepora15686 nlrc3-34
amillepora15691 nlrc3-35
amillepora15693 nlrc3-36
amillepora15705 nlrc3-37
amillepora15714 nlrc3-38
amillepora15717 nlrc3-39
amillepora15723 nlrc3-40
amillepora15728 nlrc3-41
amillepora15733 nlrc3-42
amillepora15736 nlrc3-43
amillepora15742 nlrc3-44
amillepora15748 nlrc3-45
amillepora15754 nlrc3-46
amillepora15755 nlrc3-47
amillepora16156 nlrc3-48
amillepora17203 nlrc3-49
amillepora18331 nlrc3-50
amillepora18991 nlrc3-51
amillepora18992 nlrc3-52
amillepora19190 nlrc3-53
amillepora23950 nlrc3-54
amillepora27694 nlrc3-55
amillepora27703 nlrc3-56
amillepora27708 nlrc3-57
amillepora30644 nlrc3-58
amillepora31290 nlrc3-59
amillepora31293 nlrc3-60
amillepora31295 nlrc3-61
amillepora32392 nlrc3-62
amillepora33085 nlrc3-63
amillepora33090 nlrc3-64
amillepora33263 nlrc3-65
amillepora33267 nlrc3-66
amillepora33276 nlrc3-67
amillepora34337 nlrc3-68
amillepora34463 nlrc3-69
amillepora34564 nlrc3-70
amillepora34570 nlrc3-71
amillepora34571 nlrc3-72
amillepora34578 nlrc3-73
amillepora34651 nlrc3-74
amillepora35577 nlrc3-75
amillepora36613 nlrc3-76
amillepora36614 nlrc3-77
amillepora36624 nlrc3-78
amillepora36950 nlrc3-79
amillepora36953 nlrc3-80
amillepora36956 nlrc3-81
amillepora37169 nlrc3-82
amillepora10520 nlrc4
amillepora10525 nlrc4-2
amillepora10534 nlrc4-3
amillepora10540 nlrc4-4
amillepora10553 nlrc4-5
amillepora10560 nlrc4-6
amillepora10562 nlrc4-7
amillepora10564 nlrc4-8
amillepora10566 nlrc4-9
amillepora10568 nlrc4-10
amillepora10571 nlrc4-11
amillepora10573 nlrc4-12
amillepora25849 nlrc4-13
amillepora27923 nlrc4-14
amillepora30479 nlrc4-15
amillepora30482 nlrc4-16
amillepora30483 nlrc4-17
amillepora30487 nlrc4-18
amillepora31075 nlrc4-19
amillepora31078 nlrc4-20
amillepora31082 nlrc4-21
amillepora33605 nlrc4-22
amillepora33607 nlrc4-23
amillepora36500 nlrc4-24
amillepora36504 nlrc4-25
amillepora13819 nlrc5
amillepora28809 nlrc5-2
amillepora35327 nlrc5-3
amillepora21050 nlrp1
amillepora35319 nlrp1-2
amillepora35324 nlrp1-3
amillepora16884 nlrp3
amillepora30787 nlrp3-2
amillepora10519 nlrp6
amillepora10523 nlrp6-2
amillepora20789 nmd3
amillepora23202 nmde1
amillepora04740 nmdz1
amillepora08350 nmdz1-2
amillepora10025 nmdz1-3
amillepora23203 nmdz1-4
amillepora29628 nmdz1-5
amillepora08637 nmi
amillepora03326 nmna1
amillepora20067 nmrl1
amillepora11348 nmt1
amillepora06779 nnrd
amillepora07030 nnre
amillepora08368 nntm
amillepora03320 noa1
amillepora27547 nob1
amillepora32311 noc2l
amillepora05279 noc3l
amillepora26165 noc4l
amillepora08249 noct
amillepora34650 nod1
amillepora02111 nod2
amillepora15598 nod2-2
amillepora20374 nodz
amillepora20594 nodz-2
amillepora11728 nog1
amillepora18241 nog2
amillepora14262 nogg
amillepora18157 nol10
amillepora23255 nol11
amillepora23264 nol12
amillepora18244 nol4
amillepora02908 nol6
amillepora08283 nol8
amillepora07943 nol9
amillepora34813 nolc1
amillepora30347 nom1
amillepora37683 nomo3
amillepora37684 nomo3-2
amillepora31827 nop10
amillepora03329 nop14
amillepora03768 nop16
amillepora19644 nop2
amillepora15057 nop53
amillepora03366 nop56
amillepora29698 nop58
amillepora29700 nop58-2
amillepora29786 nop58-3
amillepora08873 nop9
amillepora22271 nos1
amillepora22491 nos1-2
amillepora37223 nos1-3
amillepora14719 nos2
amillepora14199 nosip
amillepora15013 nosip-2
amillepora01485 notc1
amillepora03193 notc1-2
amillepora05181 notc1-3
amillepora05232 notc1-4
amillepora06452 notc1-5
amillepora06459 notc1-6
amillepora06489 notc1-7
amillepora09948 notc1-8
amillepora16611 notc1-9
amillepora21363 notc1-10
amillepora27382 notc1-11
amillepora29626 notc1-12
amillepora35006 notc1-13
amillepora01134 notc2
amillepora03217 notc2-2
amillepora06436 notc2-3
amillepora06437 notc2-4
amillepora06453 notc2-5
amillepora06458 notc2-6
amillepora06462 notc2-7
amillepora06467 notc2-8
amillepora06468 notc2-9
amillepora06471 notc2-10
amillepora06476 notc2-11
amillepora06486 notc2-12
amillepora07145 notc2-13
amillepora11163 notc2-14
amillepora12739 notc2-15
amillepora13473 notc2-16
amillepora16597 notc2-17
amillepora17951 notc2-18
amillepora18906 notc2-19
amillepora21029 notc2-20
amillepora21073 notc2-21
amillepora21360 notc2-22
amillepora21364 notc2-23
amillepora21599 notc2-24
amillepora24002 notc2-25
amillepora24008 notc2-26
amillepora26557 notc2-27
amillepora29026 notc2-28
amillepora29046 notc2-29
amillepora29050 notc2-30
amillepora29053 notc2-31
amillepora29092 notc2-32
amillepora29162 notc2-33
amillepora31202 notc2-34
amillepora31235 notc2-35
amillepora34216 notc2-36
amillepora34298 notc2-37
amillepora36588 notc2-38
amillepora03278 notc3
amillepora03800 notc3-2
amillepora03806 notc3-3
amillepora21024 notc3-4
amillepora31014 notc3-5
amillepora22526 notc4
amillepora28531 notc4-2
amillepora01387 notum
amillepora20288 notum-2
amillepora21930 notum-3
amillepora15294 nova1
amillepora19865 nox3
amillepora34286 nox5
amillepora13110 np1l1
amillepora20218 npa1p
amillepora26068 npal2
amillepora08007 npas2
amillepora27214 npas3
amillepora06356 npc1
amillepora19572 npc1-2
amillepora20619 npc1-3
amillepora06390 npc2
amillepora06392 npc2-2
amillepora06910 npc2-3
amillepora16670 npc2-4
amillepora16671 npc2-5
amillepora16673 npc2-6
amillepora00929 npdc1
amillepora11944 npff1
amillepora15338 npff1-2
amillepora18010 npff1-3
amillepora18185 npff1-4
amillepora27639 npff1-5
amillepora01335 npff2
amillepora04294 npff2-2
amillepora04742 npff2-3
amillepora05318 npff2-4
amillepora05319 npff2-5
amillepora08219 npff2-6
amillepora08910 npff2-7
amillepora14105 npff2-8
amillepora14107 npff2-9
amillepora14108 npff2-10
amillepora19022 npff2-11
amillepora20125 npff2-12
amillepora20126 npff2-13
amillepora24830 npff2-14
amillepora26968 npff2-15
amillepora27956 npff2-16
amillepora32589 npff2-17
amillepora37851 npff2-18
amillepora37852 npff2-19
amillepora02742 nphp1
amillepora02791 nphp3
amillepora05320 nphp3-2
amillepora06324 nphp3-3
amillepora06857 nphp3-4
amillepora08939 nphp3-5
amillepora08940 nphp3-6
amillepora08941 nphp3-7
amillepora08942 nphp3-8
amillepora08944 nphp3-9
amillepora08946 nphp3-10
amillepora08947 nphp3-11
amillepora09470 nphp3-12
amillepora09471 nphp3-13
amillepora09473 nphp3-14
amillepora09665 nphp3-15
amillepora09737 nphp3-16
amillepora09740 nphp3-17
amillepora09743 nphp3-18
amillepora09744 nphp3-19
amillepora09747 nphp3-20
amillepora09748 nphp3-21
amillepora09751 nphp3-22
amillepora09830 nphp3-23
amillepora09845 nphp3-24
amillepora09848 nphp3-25
amillepora11201 nphp3-26
amillepora12137 nphp3-27
amillepora16688 nphp3-28
amillepora21054 nphp3-29
amillepora25092 nphp3-30
amillepora27281 nphp3-31
amillepora27835 nphp3-32
amillepora27836 nphp3-33
amillepora27972 nphp3-34
amillepora27976 nphp3-35
amillepora27987 nphp3-36
amillepora27992 nphp3-37
amillepora27993 nphp3-38
amillepora33495 nphp3-39
amillepora34438 nphp3-40
amillepora34709 nphp3-41
amillepora34723 nphp3-42
amillepora35311 nphp3-43
amillepora35314 nphp3-44
amillepora35320 nphp3-45
amillepora35328 nphp3-46
amillepora35331 nphp3-47
amillepora32201 nphp4
amillepora14554 npl4
amillepora14586 npl4-2
amillepora32596 npnt
amillepora04236 nprl2
amillepora17868 nprl2-2
amillepora14232 nprl3
amillepora14983 nprl3-2
amillepora04425 nps3a
amillepora20483 npt2a
amillepora20480 npt2b
amillepora29587 npt2b-2
amillepora29588 npt2b-3
amillepora01741 nptx1
amillepora01742 nptx1-2
amillepora01745 nptx1-3
amillepora01749 nptx1-4
amillepora01752 nptx1-5
amillepora01753 nptx1-6
amillepora09484 nptx1-7
amillepora17715 nptx1-8
amillepora24000 nptx1-9
amillepora29692 nptx1-10
amillepora01744 nptx2
amillepora03139 nptx2-2
amillepora09483 nptx2-3
amillepora10155 nptx2-4
amillepora16360 nptx2-5
amillepora17008 nptx2-6
amillepora20693 nptx2-7
amillepora20698 nptx2-8
amillepora20702 nptx2-9
amillepora20606 nptxr
amillepora22639 npy2r
amillepora19872 nr2e1
amillepora25740 nr2e1-2
amillepora15551 nr2e3
amillepora19873 nr2e3-2
amillepora26928 nr2e3-3
amillepora12591 nram2
amillepora13960 nrarp
amillepora04581 nrbf2
amillepora23073 nrbp
amillepora28276 nrbp-2
amillepora04755 nrcam
amillepora11384 nrcam-2
amillepora16900 nrcam-3
amillepora16901 nrcam-4
amillepora16903 nrcam-5
amillepora16905 nrcam-6
amillepora16908 nrcam-7
amillepora17029 nrcam-8
amillepora26025 nrcam-9
amillepora36768 nrcam-10
amillepora02437 nrdc
amillepora04099 nrdc-2
amillepora36147 nrdc-3
amillepora18858 nrdd
amillepora15218 nrde2
amillepora33625 nrf1
amillepora10622 nrf6
amillepora13198 nrf6-2
amillepora13199 nrf6-3
amillepora35439 nrf6-4
amillepora35442 nrf6-5
amillepora06740 nrg4
amillepora10106 nrp1
amillepora17141 nrp1-2
amillepora27020 nrp1-3
amillepora16281 nrp2
amillepora16303 nrp2-2
amillepora16526 nrp2-3
amillepora17939 nrp2-4
amillepora17944 nrp2-5
amillepora20091 nrp2-6
amillepora26031 nrp2-7
amillepora29436 nrp2-8
amillepora29445 nrp2-9
amillepora29454 nrp2-10
amillepora30441 nrp2-11
amillepora30473 nrp2-12
amillepora37016 nrp2-13
amillepora06322 nrsn1
amillepora23072 nrx1a
amillepora26569 nrx1a-2
amillepora10824 nrx2a
amillepora23069 nrx2a-2
amillepora23070 nrx2a-3
amillepora16211 nrx3a
amillepora06125 ns1bp
amillepora02599 nsa2
amillepora03681 nsd2
amillepora05515 nsdhl
amillepora24441 nsdhl-2
amillepora23077 nse1
amillepora20461 nse2
amillepora07946 nse3
amillepora05407 nse4a
amillepora17860 nsf
amillepora17864 nsf-2
amillepora29824 nsf-3
amillepora29831 nsf-4
amillepora09683 nsf1c
amillepora16535 nsl1
amillepora00979 nsma
amillepora19284 nsma3
amillepora21910 nsma3-2
amillepora06133 nsmf
amillepora30004 nsrp1
amillepora15702 nst1
amillepora24776 nst1-2
amillepora09314 nsun2
amillepora09315 nsun2-2
amillepora04715 nsun4
amillepora20072 nsun4-2
amillepora17089 nsun5
amillepora01973 nsun7
amillepora07999 nsun7-2
amillepora21027 nt2nc
amillepora21076 nt2nc-2
amillepora03244 nt5d1
amillepora03245 nt5d1-2
amillepora02611 nt5d2
amillepora02617 nt5d2-2
amillepora14337 ntan1
amillepora14362 ntan1-2
amillepora33511 ntaq1
amillepora12894 ntf2
amillepora14828 nth
amillepora29739 ntm1a
amillepora29749 ntm1a-2
amillepora26693 ntpcr
amillepora25953 ntr1
amillepora17212 ntri
amillepora19418 ntri-2
amillepora23594 ntri-3
amillepora23749 ntri-4
amillepora33282 ntri-5
amillepora23700 ntrxl
amillepora03769 nu107
amillepora09924 nu133
amillepora07175 nu153
amillepora18797 nu153-2
amillepora21992 nu153-3
amillepora25590 nu155
amillepora27927 nu160
amillepora32290 nu188
amillepora04883 nu205
amillepora01378 nu214
amillepora11759 nu214-2
amillepora04774 nua
amillepora14409 nubp2
amillepora30495 nubp2-2
amillepora00169 nubpl
amillepora17208 nuca
amillepora12978 nucb2
amillepora00468 nucg
amillepora06888 nucg-2
amillepora15101 nucg-3
amillepora17990 nucg-4
amillepora35670 nucg-5
amillepora16574 nud14
amillepora16633 nud14-2
amillepora08400 nud16
amillepora06546 nud17
amillepora24546 nud18
amillepora01136 nud19
amillepora10909 nud20
amillepora16160 nud22
amillepora05108 nudc
amillepora09118 nudc1
amillepora06987 nudc2
amillepora12926 nudc3
amillepora22258 nudt3
amillepora24623 nudt3-2
amillepora07306 nudt6
amillepora22819 nudt6-2
amillepora08629 nudt7
amillepora18851 nudt8
amillepora22117 nudt9
amillepora16380 nuf2
amillepora30739 nufp1
amillepora14046 num1
amillepora24412 numa1
amillepora26565 numbl
amillepora25140 nuob
amillepora21747 nuod
amillepora37007 nuod-2
amillepora09985 nup35
amillepora04673 nup37
amillepora20769 nup42
amillepora20322 nup43
amillepora10257 nup50
amillepora07527 nup54
amillepora30357 nup58
amillepora36351 nup58-2
amillepora03206 nup62
amillepora09810 nup62-2
amillepora13710 nup85
amillepora24945 nup88
amillepora09070 nup93
amillepora29795 nup93-2
amillepora06872 nup98
amillepora26293 nusap
amillepora26296 nusap-2
amillepora31309 nusb
amillepora01244 nvd
amillepora16318 nvl
amillepora35857 nvl-2
amillepora05327 nwd1
amillepora07640 nwd1-2
amillepora07645 nwd1-3
amillepora07648 nwd1-4
amillepora10782 nwd1-5
amillepora10789 nwd1-6
amillepora12471 nwd1-7
amillepora12608 nwd1-8
amillepora13089 nwd1-9
amillepora20154 nwd2
amillepora29275 nwd2-2
amillepora33672 nwd2-3
amillepora34129 nxf1
amillepora23168 nxn
amillepora25107 nxnl2
amillepora32343 nxp20
amillepora19487 nxpe1
amillepora10447 nxrd1
amillepora07743 nxt1
amillepora00350 nynri
amillepora00793 nynri-2
amillepora01687 nynri-3
amillepora01982 nynri-4
amillepora02131 nynri-5
amillepora02272 nynri-6
amillepora02324 nynri-7
amillepora02463 nynri-8
amillepora04150 nynri-9
amillepora05854 nynri-10
amillepora07024 nynri-11
amillepora07047 nynri-12
amillepora07054 nynri-13
amillepora07741 nynri-14
amillepora07868 nynri-15
amillepora07989 nynri-16
amillepora08003 nynri-17
amillepora08170 nynri-18
amillepora11197 nynri-19
amillepora12070 nynri-20
amillepora13562 nynri-21
amillepora13910 nynri-22
amillepora14271 nynri-23
amillepora17294 nynri-24
amillepora17801 nynri-25
amillepora18366 nynri-26
amillepora19161 nynri-27
amillepora19170 nynri-28
amillepora21071 nynri-29
amillepora21201 nynri-30
amillepora21824 nynri-31
amillepora22946 nynri-32
amillepora23008 nynri-33
amillepora23975 nynri-34
amillepora25688 nynri-35
amillepora25847 nynri-36
amillepora27714 nynri-37
amillepora28050 nynri-38
amillepora28153 nynri-39
amillepora28323 nynri-40
amillepora29263 nynri-41
amillepora29301 nynri-42
amillepora30292 nynri-43
amillepora30626 nynri-44
amillepora32190 nynri-45
amillepora32789 nynri-46
amillepora33124 nynri-47
amillepora33200 nynri-48
amillepora33836 nynri-49
amillepora33975 nynri-50
amillepora33994 nynri-51
amillepora34109 nynri-52
amillepora34326 nynri-53
amillepora34599 nynri-54
amillepora34694 nynri-55
amillepora34908 nynri-56
amillepora35610 nynri-57
amillepora36079 nynri-58
amillepora36987 nynri-59
amillepora37272 nynri-60
amillepora09556 nyx
amillepora19456 nyx-2
amillepora08016 o10g9
amillepora22996 o2a25
amillepora23497 oaf
amillepora37056 oaf-2
amillepora05438 oard1
amillepora02977 oas1
amillepora02979 oas1-2
amillepora26237 oas2
amillepora05763 oat
amillepora07111 obi1
amillepora12523 obscn
amillepora20770 obscn-2
amillepora06555 ocad1
amillepora19790 ocrl
amillepora12863 octc
amillepora07320 odad2
amillepora24127 odad2-2
amillepora27216 odad2-3
amillepora27442 odad2-4
amillepora01092 odad3
amillepora03190 odad4
amillepora29720 odad4-2
amillepora29770 odad4-3
amillepora25649 odb2
amillepora25650 odb2-2
amillepora14901 odba
amillepora20081 odbb
amillepora03014 odf3a
amillepora04739 odf3a-2
amillepora33588 odf3a-3
amillepora01266 odfp2
amillepora33880 odo1
amillepora07497 odo2
amillepora20451 odp2
amillepora19948 odpat
amillepora32051 odpt
amillepora22509 odpx
amillepora29176 odr4
amillepora32118 oft30
amillepora13502 ofut1
amillepora23392 ofut1-2
amillepora08558 ofut2
amillepora25310 ofut2-2
amillepora32116 ofut2-3
amillepora32150 ofut2-4
amillepora05269 oga
amillepora05270 oga-2
amillepora26245 ogfd1
amillepora24905 ogfd2
amillepora15772 ogfr
amillepora26813 ogg1
amillepora07718 ogt1
amillepora32208 ogt1-2
amillepora01388 oit3
amillepora03670 oit3-2
amillepora05848 oit3-3
amillepora06292 oit3-4
amillepora06454 oit3-5
amillepora06474 oit3-6
amillepora06479 oit3-7
amillepora11129 oit3-8
amillepora11720 oit3-9
amillepora12228 oit3-10
amillepora12232 oit3-11
amillepora12235 oit3-12
amillepora15840 oit3-13
amillepora20379 oit3-14
amillepora20785 oit3-15
amillepora20902 oit3-16
amillepora20903 oit3-17
amillepora20904 oit3-18
amillepora20907 oit3-19
amillepora20908 oit3-20
amillepora20909 oit3-21
amillepora20912 oit3-22
amillepora20914 oit3-23
amillepora20916 oit3-24
amillepora20917 oit3-25
amillepora20919 oit3-26
amillepora20921 oit3-27
amillepora20923 oit3-28
amillepora20929 oit3-29
amillepora20930 oit3-30
amillepora21090 oit3-31
amillepora23546 oit3-32
amillepora28493 oit3-33
amillepora28502 oit3-34
amillepora29151 oit3-35
amillepora29211 oit3-36
amillepora29214 oit3-37
amillepora33255 oit3-38
amillepora24997 ola1
amillepora26546 ola1-2
amillepora19778 olm2a
amillepora07783 olm2b
amillepora07784 olm2b-2
amillepora07787 olm2b-3
amillepora07788 olm2b-4
amillepora19775 olm2b-5
amillepora19776 olm2b-6
amillepora19777 olm2b-7
amillepora19779 olm2b-8
amillepora07544 olr1
amillepora25968 oma1
amillepora27602 oma1-2
amillepora28451 oma1-3
amillepora30185 oma1-4
amillepora32765 oma1-5
amillepora18755 opa1
amillepora18765 opa1-2
amillepora15533 opa3
amillepora34419 opcm
amillepora05349 opla
amillepora09488 opn3
amillepora30010 opn3-2
amillepora30012 opn3-3
amillepora05445 opn4
amillepora22349 opn4-2
amillepora31895 opn4-3
amillepora04429 oprd
amillepora27751 oprd-2
amillepora20248 opsb
amillepora22350 opsb-2
amillepora26156 opsd
amillepora03611 opsx
amillepora08079 optn
amillepora05453 opud
amillepora26122 orc1
amillepora26124 orc1-2
amillepora00805 orc2
amillepora00825 orc2-2
amillepora26593 orc3
amillepora21893 orc4
amillepora21969 orc5
amillepora31886 orc6
amillepora11272 orml3
amillepora24456 orn
amillepora07125 ornt1
amillepora12342 os9
amillepora10304 osb11
amillepora10313 osb11-2
amillepora11949 osbl1
amillepora20651 osbl1-2
amillepora20656 osbl1-3
amillepora12954 osbl8
amillepora36058 osbl9
amillepora19084 osbp2
amillepora22292 osbp2-2
amillepora19781 oscp1
amillepora22547 oser1
amillepora08751 osgep
amillepora05344 osgi1
amillepora32203 ost48
amillepora04720 ostc
amillepora02678 ostf1
amillepora19863 ostm1
amillepora19497 otc
amillepora21986 otof
amillepora13305 otog
amillepora13521 otog-2
amillepora20127 otog-3
amillepora28522 otog-4
amillepora23348 otogl
amillepora34301 otu1
amillepora35042 otu1-2
amillepora02648 otu6b
amillepora09009 otu6b-2
amillepora02945 otu7b
amillepora12047 otu9
amillepora15527 otub1
amillepora29277 otud3
amillepora08122 otud4
amillepora08130 otud4-2
